,Gene ID,Log2Ratio,p-value,Max RPKM,Entrez To,Official Gene Symbol To,Species,Gene Name
754,NM_152572,-3.09,0.0348,1567.57,158067,AK8,Homo sapiens,adenylate kinase 8(AK8)
755,NM_145025,-1.9,0.00326,4182.93,221264,AK9,Homo sapiens,adenylate kinase 9(AK9)
782,NM_005751,-1.57,0.0222,35336.52,10142,AKAP9,Homo sapiens,A-kinase anchoring protein 9(AKAP9)
804,NM_005989,-1.72,0.0258,44.61,6718,AKR1D1,Homo sapiens,aldo-keto reductase family 1 member D1(AKR1D1)
810,NM_005163,-1.65,0.0419,39382.29,207,AKT1,Homo sapiens,AKT serine/threonine kinase 1(AKT1)
821,NR_027097,-2.94,0.0224,63.39,100271832,LOC100271832,Homo sapiens,uncharacterized LOC100271832(LOC100271832)
822,NM_000031,-1.24,0.0367,13370.59,210,ALAD,Homo sapiens,aminolevulinate dehydratase(ALAD)
857,NM_001080,-1.77,0.0086,29606.57,7915,ALDH5A1,Homo sapiens,aldehyde dehydrogenase 5 family member A1(ALDH5A1)
872,NM_001013620,-1.76,0.0326,19438.96,144245,ALG10B,Homo sapiens,"ALG10 alpha-1,2-glucosyltransferase B(ALG10B)"
877,NM_001015050,-3.67,0.0155,1764.17,200810,ALG1L1P,Homo sapiens,"ALG1 like 1, pseudogene(ALG1L1P)"
911,NR_002710,-6.63,0.0117,924.63,245,ALOX12P2,Homo sapiens,arachidonate 12-lipoxygenase pseudogene 2(ALOX12P2)
912,NM_001140,-9.35,0.00797,1685.01,246,ALOX15,Homo sapiens,arachidonate 15-lipoxygenase(ALOX15)
933,NM_139163,-1.13,0.0339,41.69,130540,FLACC1,Homo sapiens,flagellum associated containing coiled-coil domains 1(FLACC1)
955,NM_001105195,-5.91,0.0109,29.46,205147,AMER3,Homo sapiens,APC membrane recruitment protein 3(AMER3)
956,NM_001105194,-5.9,0.0121,29.32,205147,AMER3,Homo sapiens,APC membrane recruitment protein 3(AMER3)
957,NM_001105193,-5.83,0.00699,27.34,205147,AMER3,Homo sapiens,APC membrane recruitment protein 3(AMER3)
958,NM_152698,-5.57,0.00919,22.92,205147,AMER3,Homo sapiens,APC membrane recruitment protein 3(AMER3)
959,NM_001144,-1.18,0.0498,129944.87,267,AMFR,Homo sapiens,autocrine motility factor receptor(AMFR)
962,NM_020703,-2.2,0.0041,4990.64,57463,AMIGO1,Homo sapiens,adhesion molecule with Ig like domain 1(AMIGO1)
970,NM_001113402,-1.92,0.0218,2473.34,196394,AMN1,Homo sapiens,antagonist of mitotic exit network 1 homolog(AMN1)
1018,NM_001137664,-1.3,0.0365,10876.42,51434,ANAPC7,Homo sapiens,anaphase promoting complex subunit 7(ANAPC7)
1022,NM_015305,-1.39,0.0266,37336.17,23357,ANGEL1,Homo sapiens,angel homolog 1(ANGEL1)
1045,NM_001149,-4.08,0.0151,24855.41,288,ANK3,Homo sapiens,ankyrin 3(ANK3)
1046,NM_020987,-3.95,0.00019,1586.16,288,ANK3,Homo sapiens,ankyrin 3(ANK3)
1070,NM_001083625,-1.47,0.00393,21273.71,23253,ANKRD12,Homo sapiens,ankyrin repeat domain 12(ANKRD12)
1086,NM_001098805,-2.56,0.025,143.74,728747,ANKRD20A4P,Homo sapiens,"ankyrin repeat domain 20 family member A4, pseudogene(ANKRD20A4P)"
1087,NM_001012419,-1.94,0.0394,38.63,441425,ANKRD20A3P,Homo sapiens,"ankyrin repeat domain 20 family member A3, pseudogene(ANKRD20A3P)"
1088,NM_001012419,-1.77,0.0112,61.62,441425,ANKRD20A3P,Homo sapiens,"ankyrin repeat domain 20 family member A3, pseudogene(ANKRD20A3P)"
1090,NR_003366,-2.03,0.0153,135.06,729171,ANKRD20A8P,Homo sapiens,"ankyrin repeat domain 20 family member A8, pseudogene(ANKRD20A8P)"
1091,NR_027995,-1.13,0.00692,12690.13,284232,ANKRD20A9P,Homo sapiens,"ankyrin repeat domain 20 family member A9, pseudogene(ANKRD20A9P)"
1093,NM_144994,-2.53,0.028,5073.39,200539,ANKRD23,Homo sapiens,ankyrin repeat domain 23(ANKRD23)
1094,NM_133475,-2.05,0.0499,748.07,170961,ANKRD24,Homo sapiens,ankyrin repeat domain 24(ANKRD24)
1122,NM_198401,-1.26,0.00237,1507.56,157567,ANKRD46,Homo sapiens,ankyrin repeat domain 46(ANKRD46)
1148,NM_020373,-2.3,0.042,1390.07,57101,ANO2,Homo sapiens,anoctamin 2(ANO2)
1160,NM_001012302,-6.43,0.0267,1404.97,338440,ANO9,Homo sapiens,anoctamin 9(ANO9)
1202,NM_003568,-6.44,0.0324,17433.25,8416,ANXA9,Homo sapiens,annexin A9(ANXA9)
1212,NM_145730,-1.14,0.0357,101307.55,162,AP1B1,Homo sapiens,adaptor related protein complex 1 subunit beta 1(AP1B1)
1214,NM_001128,-1.11,0.000993,98187.66,164,AP1G1,Homo sapiens,adaptor related protein complex 1 subunit gamma 1(AP1G1)
1219,NM_005498,-3.02,0.000895,36343.69,10053,AP1M2,Homo sapiens,adaptor related protein complex 1 subunit mu 2(AP1M2)
1241,NR_023361,-1.07,0.00335,14774.91,10239,AP3S2,Homo sapiens,adaptor related protein complex 3 subunit sigma 2(AP3S2)
1296,NR_024515,-2.0,0.032,846.2,334,APLP2,Homo sapiens,amyloid beta precursor like protein 2(APLP2)
1318,NM_018690,-5.33,0.0187,946.52,55911,APOBR,Homo sapiens,apolipoprotein B receptor(APOBR)
1370,NR_026908,-1.59,0.00904,89.73,147429,AQP4-AS1,Homo sapiens,AQP4 antisense RNA 1(AQP4-AS1)
1380,NM_000044,-3.39,0.0261,26358.89,367,AR,Homo sapiens,androgen receptor(AR)
1381,NM_001011645,-2.72,0.0126,4944.49,367,AR,Homo sapiens,androgen receptor(AR)
1382,NM_001654,-1.12,0.0293,40660.59,369,ARAF,Homo sapiens,"A-Raf proto-oncogene, serine/threonine kinase(ARAF)"
1383,NM_015242,-1.67,0.024,8975.71,116985,ARAP1,Homo sapiens,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1(ARAP1)"
1391,NM_001657,-1.82,0.0294,6757.55,374,AREG,Homo sapiens,amphiregulin(AREG)
1406,NM_006421,-1.52,0.0329,83857.29,10565,ARFGEF1,Homo sapiens,ARF guanine nucleotide exchange factor 1(ARFGEF1)
1408,NM_001025595,-1.54,0.000683,17821.65,27236,ARFIP1,Homo sapiens,ARF interacting protein 1(ARFIP1)
1441,NM_199282,-3.94,0.00037,13098.22,201176,ARHGAP27,Homo sapiens,Rho GTPase activating protein 27(ARHGAP27)
1442,NM_001159330,-3.25,0.00133,15634.72,201176,ARHGAP27,Homo sapiens,Rho GTPase activating protein 27(ARHGAP27)
1450,NM_014715,-5.27,0.00153,37606.56,9743,ARHGAP32,Homo sapiens,Rho GTPase activating protein 32(ARHGAP32)
1465,NM_001017526,-9.85,0.00168,1134.28,23779,ARHGAP8,Homo sapiens,Rho GTPase activating protein 8(ARHGAP8)
1473,NM_001176,-5.73,0.0263,938.45,398,ARHGDIG,Homo sapiens,Rho GDP dissociation inhibitor gamma(ARHGDIG)
1478,NM_018125,-3.28,0.00329,3038.19,55160,ARHGEF10L,Homo sapiens,Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)
1479,NM_001011722,-1.23,0.00482,1943.44,55160,ARHGEF10L,Homo sapiens,Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)
1480,NM_198236,-1.03,0.0245,18237.87,9826,ARHGEF11,Homo sapiens,Rho guanine nucleotide exchange factor 11(ARHGEF11)
1483,NM_014448,-5.37,0.00559,18693.18,27237,ARHGEF16,Homo sapiens,Rho guanine nucleotide exchange factor 16(ARHGEF16)
1487,NM_153213,-5.26,0.0173,12319.3,128272,ARHGEF19,Homo sapiens,Rho guanine nucleotide exchange factor 19(ARHGEF19)
1499,NM_001003702,-3.31,0.00026,20817.91,445328,ARHGEF35,Homo sapiens,Rho guanine nucleotide exchange factor 35(ARHGEF35)
1500,NM_001001669,-4.31,0.0352,16071.1,389337,ARHGEF37,Homo sapiens,Rho guanine nucleotide exchange factor 37(ARHGEF37)
1501,NM_017700,-11.34,0.00812,2588.68,54848,ARHGEF38,Homo sapiens,Rho guanine nucleotide exchange factor 38(ARHGEF38)
1506,NM_005435,-2.21,0.00478,1912.4,7984,ARHGEF5,Homo sapiens,Rho guanine nucleotide exchange factor 5(ARHGEF5)
1508,NM_001113513,-3.2,0.0149,4774.76,8874,ARHGEF7,Homo sapiens,Rho guanine nucleotide exchange factor 7(ARHGEF7)
1518,NM_152641,-1.19,0.0194,39891.3,196528,ARID2,Homo sapiens,AT-rich interaction domain 2(ARID2)
1524,NM_002892,-1.01,0.0376,17338.4,5926,ARID4A,Homo sapiens,AT-rich interaction domain 4A(ARID4A)
1525,NM_016374,-1.27,0.015,40707.81,51742,ARID4B,Homo sapiens,AT-rich interaction domain 4B(ARID4B)
1532,NM_001177,-1.15,0.0157,100223.42,400,ARL1,Homo sapiens,ARF like GTPase 1(ARL1)
1569,NM_138795,-1.37,0.016,31933.16,127829,ARL8A,Homo sapiens,ARF like GTPase 8A(ARL8A)
1573,NM_001161012,-2.06,0.00791,5817.35,83787,ARMC10,Homo sapiens,armadillo repeat containing 10(ARMC10)
1600,NM_019007,-1.03,0.0176,6247.3,54470,ARMCX6,Homo sapiens,armadillo repeat containing X-linked 6(ARMCX6)
1626,NM_020251,-3.58,0.0325,15882.45,408,ARRB1,Homo sapiens,arrestin beta 1(ARRB1)
1630,NM_152285,-3.33,0.000454,19082.38,92714,ARRDC1,Homo sapiens,arrestin domain containing 1(ARRDC1)
1644,NM_001669,-3.28,8.91e-07,78376.64,414,ARSD,Homo sapiens,arylsulfatase D(ARSD)
1645,NM_009589,-2.84,0.000727,2316.18,414,ARSD,Homo sapiens,arylsulfatase D(ARSD)
1647,NM_014960,-2.93,0.0389,10092.42,22901,ARSG,Homo sapiens,arylsulfatase G(ARSG)
1663,NM_139058,-6.05,0.0444,2492.46,170302,ARX,Homo sapiens,aristaless related homeobox(ARX)
1699,NM_198243,-1.0,0.00345,23081.57,140460,ASB7,Homo sapiens,ankyrin repeat and SOCS box containing 7(ASB7)
1701,NM_024095,-1.38,0.0477,21893.06,140461,ASB8,Homo sapiens,ankyrin repeat and SOCS box containing 8(ASB8)
1709,NM_005170,-9.29,0.0155,6061.12,430,ASCL2,Homo sapiens,achaete-scute family bHLH transcription factor 2(ASCL2)
1720,NR_027023,-1.27,0.00926,2013.07,645676,ASH1L-AS1,Homo sapiens,ASH1L antisense RNA 1(ASH1L-AS1)
1727,NM_020322,-2.23,0.0268,897.85,9311,ASIC3,Homo sapiens,acid sensing ion channel subunit 3(ASIC3)
1728,NM_020321,-1.84,0.00972,949.13,9311,ASIC3,Homo sapiens,acid sensing ion channel subunit 3(ASIC3)
1772,NM_001002036,-2.99,0.0204,228.72,431705,ASTL,Homo sapiens,astacin like metalloendopeptidase(ASTL)
1775,NM_198188,-4.05,0.0179,1451.41,23245,ASTN2,Homo sapiens,astrotactin 2(ASTN2)
1776,NM_198187,-3.76,0.00148,5420.99,23245,ASTN2,Homo sapiens,astrotactin 2(ASTN2)
1777,NM_198186,-3.59,0.0181,5762.57,23245,ASTN2,Homo sapiens,astrotactin 2(ASTN2)
1778,NM_014010,-2.29,0.00847,1269.42,23245,ASTN2,Homo sapiens,astrotactin 2(ASTN2)
1880,NM_001001787,-1.43,0.0453,24217.3,481,ATP1B1,Homo sapiens,ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
1896,NM_174955,-3.4,0.0261,6550.34,489,ATP2A3,Homo sapiens,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3)
1909,NM_014861,-7.69,4.04e-05,20742.74,9914,ATP2C2,Homo sapiens,ATPase secretory pathway Ca2+ transporting 2(ATP2C2)
1941,NM_001003803,-1.31,0.00597,4393.15,27109,DMAC2L,Homo sapiens,distal membrane arm assembly component 2 like(DMAC2L)
1976,NM_004888,-1.25,0.00385,99254.95,9550,ATP6V1G1,Homo sapiens,ATPase H+ transporting V1 subunit G1(ATP6V1G1)
1984,NM_000052,-1.18,0.0306,20276.72,538,ATP7A,Homo sapiens,ATPase copper transporting alpha(ATP7A)
1985,NM_000053,-3.63,0.0444,15009.82,540,ATP7B,Homo sapiens,ATPase copper transporting beta(ATP7B)
1986,NM_001005918,-3.45,0.00588,3183.81,540,ATP7B,Homo sapiens,ATPase copper transporting beta(ATP7B)
2013,NM_138270,-1.02,0.018,46384.98,546,ATRX,Homo sapiens,ATRX chromatin remodeler(ATRX)
2021,NM_007245,-1.97,0.043,26376.22,11273,ATXN2L,Homo sapiens,ataxin 2 like(ATXN2L)
2033,NM_020725,-1.42,0.0353,6246.5,222255,ATXN7L1,Homo sapiens,ataxin 7 like 1(ATXN7L1)
2034,NM_138495,-1.1,0.00861,381.25,222255,ATXN7L1,Homo sapiens,ataxin 7 like 1(ATXN7L1)
2039,NM_001136262,-1.44,0.0102,186812.23,552889,ATXN7L3B,Homo sapiens,ataxin 7 like 3B(ATXN7L3B)
2077,NM_001185,-8.39,0.0431,71366.96,563,AZGP1,Homo sapiens,"alpha-2-glycoprotein 1, zinc-binding(AZGP1)"
2095,NM_003782,-3.23,0.0177,5977.24,8705,B3GALT4,Homo sapiens,"beta-1,3-galactosyltransferase 4(B3GALT4)"
2109,NM_014256,-2.83,0.0239,3630.35,10331,B3GNT3,Homo sapiens,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3(B3GNT3)"
2110,NM_030765,-1.95,0.0207,582.57,79369,B3GNT4,Homo sapiens,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4(B3GNT4)"
2119,NM_001159387,-4.06,0.0123,212.1,124872,B4GALNT2,Homo sapiens,"beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)(B4GALNT2)"
2120,NM_001159388,-4.04,0.013,214.21,124872,B4GALNT2,Homo sapiens,"beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)(B4GALNT2)"
2181,NM_012342,-2.44,0.0207,70350.09,25805,BAMBI,Homo sapiens,BMP and activin membrane bound inhibitor(BAMBI)
2196,NM_006399,-12.09,0.0405,4358.13,10538,BATF,Homo sapiens,basic leucine zipper ATF-like transcription factor(BATF)
2208,NM_013450,-1.98,0.0354,10425.78,29994,BAZ2B,Homo sapiens,bromodomain adjacent to zinc finger domain 2B(BAZ2B)
2214,NM_024649,-1.49,0.00182,14490.67,582,BBS1,Homo sapiens,Bardet-Biedl syndrome 1(BBS1)
2228,NM_005581,-5.01,0.0497,124485.26,4059,BCAM,Homo sapiens,basal cell adhesion molecule (Lutheran blood group)(BCAM)
2229,NM_001013257,-3.93,0.00828,96056.99,4059,BCAM,Homo sapiens,basal cell adhesion molecule (Lutheran blood group)(BCAM)
2254,NR_027501,-1.74,0.00847,3331.22,100286844,BCDIN3D-AS1,Homo sapiens,BCDIN3D antisense RNA 1(BCDIN3D-AS1)
2255,NR_027499,-1.63,0.0134,3884.57,100286844,BCDIN3D-AS1,Homo sapiens,BCDIN3D antisense RNA 1(BCDIN3D-AS1)
2267,NM_022898,-3.58,0.03,2110.53,64919,BCL11B,Homo sapiens,BCL11 transcription factor B(BCL11B)
2292,NM_001024808,-1.68,0.0021,9794.24,605,BCL7A,Homo sapiens,BAF chromatin remodeling complex subunit BCL7A(BCL7A)
2293,NM_020993,-1.44,0.00247,25074.65,605,BCL7A,Homo sapiens,BAF chromatin remodeling complex subunit BCL7A(BCL7A)
2296,NM_004326,-1.27,0.00938,31391.87,607,BCL9,Homo sapiens,BCL9 transcription coactivator(BCL9)
2316,NM_004051,-1.81,0.0299,19109.93,622,BDH1,Homo sapiens,3-hydroxybutyrate dehydrogenase 1(BDH1)
2328,NM_001143811,-5.82,0.0432,74.5,627,BDNF,Homo sapiens,brain derived neurotrophic factor(BDNF)
2331,NM_170734,-4.02,0.0452,35.8,627,BDNF,Homo sapiens,brain derived neurotrophic factor(BDNF)
2364,NM_032621,-2.93,0.0352,3941.13,84707,BEX2,Homo sapiens,brain expressed X-linked 2(BEX2)
2367,NM_001012978,-4.54,0.00893,909.81,340542,BEX5,Homo sapiens,brain expressed X-linked 5(BEX5)
2368,NM_001159560,-2.22,0.00477,65.74,340542,BEX5,Homo sapiens,brain expressed X-linked 5(BEX5)
2385,NM_080606,-3.87,0.0413,14.6,128408,BHLHE23,Homo sapiens,basic helix-loop-helix family member e23(BHLHE23)
2398,NM_001197,-5.35,0.00936,1842.09,638,BIK,Homo sapiens,BCL2 interacting killer(BIK)
2431,NM_173809,-1.09,0.0443,5852.1,282991,BLOC1S2,Homo sapiens,biogenesis of lysosomal organelles complex 1 subunit 2(BLOC1S2)
2437,NM_000712,-1.48,0.0136,19044.96,644,BLVRA,Homo sapiens,biliverdin reductase A(BLVRA)
2438,NM_000713,-2.35,0.00781,52435.53,645,BLVRB,Homo sapiens,biliverdin reductase B(BLVRB)
2440,NM_001003940,-4.24,0.0144,21696.16,90427,BMF,Homo sapiens,Bcl2 modifying factor(BMF)
2443,NM_001003942,-1.2,0.005,692.29,90427,BMF,Homo sapiens,Bcl2 modifying factor(BMF)
2486,NM_016074,-1.8,0.029,10578.83,51027,BOLA1,Homo sapiens,bolA family member 1(BOLA1)
2498,NR_026648,-1.42,0.00445,2640.83,670,BPHL,Homo sapiens,biphenyl hydrolase like(BPHL)
2499,NR_026649,-1.41,0.00457,2765.56,670,BPHL,Homo sapiens,biphenyl hydrolase like(BPHL)
2509,NM_004459,-1.7,0.0038,82949.4,2186,BPTF,Homo sapiens,bromodomain PHD finger transcription factor(BPTF)
2510,NM_182641,-1.36,0.0307,57241.15,2186,BPTF,Homo sapiens,bromodomain PHD finger transcription factor(BPTF)
