Gene ID,Log2Ratio,p-value,Max RPKM
NM_000033,-0.95,0.175,18586.13
NM_005164,7.33,0.135,160.5
NM_002858,-0.49,0.213,2752.88
NM_001122674,0.28,0.721,622.18
NM_005050,-0.33,0.692,5502.73
NR_003256,-0.1,0.857,298.44
NM_001040876,0.29,0.658,22880.07
NM_002940,1.67,0.0323,70591.98
NM_001025091,0.93,0.0172,46032.03
NM_001090,1.0,0.0274,16713.48
NM_005692,1.07,0.435,2086.1
NM_007189,1.51,0.0109,77012.72
NM_018358,-0.89,0.0314,21887.73
NM_207174,-4.89,0.0257,8464.62
NM_016818,-4.83,0.0113,11652.5
NM_207629,-2.83,0.0302,1640.7
NM_004915,-2.41,0.181,8343.78
NM_207628,-2.32,0.0953,640.5
NM_207627,-1.94,0.0412,444.84
NM_004827,0.07,0.964,3347.18
NM_022169,2.01,0.103,177.96
NM_001142505,2.39,0.144,203.41
NM_022436,-2.66,0.185,6.32
NM_022437,-1.61,0.234,3.88
NM_032604,-2.58,0.00417,1402.98
NM_018394,0.68,0.0707,29632.42
NM_001145363,-3.13,0.000122,1154.58
NM_148912,-2.76,0.00221,16143.17
NM_148916,-2.74,9.24e-05,1496.14
NM_148913,-2.49,4.88e-05,11490.6
NM_001145364,-2.46,0.00563,4802.14
NR_026910,-1.2,0.00158,1969.35
NM_015600,-0.17,0.635,6167.34
NM_001042472,0.77,0.256,5897.21
NM_181814,-5.71,0.351,1035.14
NM_181533,-4.02,0.357,447.41
NM_032859,0.1,0.791,15456.73
NM_015407,1.09,0.0377,3397.02
NM_032750,-0.38,0.459,9101.85
NM_001146314,0.06,0.453,178.72
NM_198147,-0.93,0.061,18237.46
NM_021160,1.85,0.0116,10006.61
NM_080622,-0.78,0.249,6641.37
NM_001130111,-0.24,0.572,4808.82
NM_031213,-0.03,0.909,82.66
NM_016014,-0.35,0.63,298.34
NM_001025780,0.13,0.673,14908.86
NM_021214,-1.09,0.0187,31248.72
NM_152924,-0.68,0.36,170754.26
NM_007011,0.25,0.804,5113.26
NM_138340,-1.01,0.227,8994.52
NM_022060,-0.23,0.643,16816.18
NM_016006,0.51,0.446,27726.52
NM_020676,0.6,0.386,3609.13
NM_024527,0.93,0.239,9257.73
NM_001012750,-0.83,0.239,9409.77
NM_001012752,-0.61,0.376,9826.15
NM_005470,-0.39,0.571,1376.37
NM_001012751,-0.02,0.977,3167.01
NM_005759,0.05,0.94,28215.48
NM_001135186,2.33,0.423,88.87
NM_016428,3.38,0.382,205.9
NM_015429,7.15,0.123,20477.32
NM_007313,0.24,0.353,77977.15
NM_005157,2.89,0.0388,74856.02
NM_005158,1.46,0.0428,12736.12
NM_007314,1.77,0.0427,22462.23
NM_001136001,2.18,0.035,728.87
NM_001136000,3.43,0.0973,16182.06
NM_001100108,3.53,0.0292,33578.73
NM_002313,-2.53,0.104,17832.7
NM_001003408,-2.32,0.0313,6280.33
NM_001003407,-1.42,0.262,19460.77
NM_006720,-1.33,0.341,95115.91
NM_001130084,-3.07,0.112,227.29
NM_032432,-2.55,0.073,160.8
NM_001130087,-2.21,0.161,119.86
NM_001130086,-2.21,0.253,312.15
NM_001130085,-2.12,0.346,88.92
NM_001130083,-1.49,0.413,63.14
NM_001130088,-0.6,0.664,117.15
NM_014945,0.78,0.57,5145.53
NM_020469,-0.51,0.347,0.7
NM_001092,0.68,0.328,33738.33
NM_021962,1.21,0.187,11888.45
NM_001159746,1.76,0.432,2673.98
NM_139166,-1.6,0.184,33.17
NM_021243,0.11,0.818,7817.12
NM_013375,0.27,0.315,21879.27
NM_032548,-0.12,0.799,456.67
NM_172028,-0.11,0.843,688.98
NM_172027,0.79,0.474,3572.29
NM_145804,-0.29,0.679,16565.14
NR_027110,-1.6,0.543,6.42
NR_027069,1.19,0.375,1021.39
NR_027334,-0.42,0.541,2527.74
NM_001008737,-1.0,0.129,2769.89
NR_026681,-3.05,0.207,8.26
NR_002809,-2.2,0.0174,1479.88
NR_027253,-0.47,0.37,452.72
NM_001607,-0.38,0.776,2315.01
NM_001130410,0.55,0.772,227.76
NM_006111,2.05,0.000189,19931.74
NM_198837,-1.3,0.281,8295.6
NM_198838,-0.73,0.354,10028.32
NM_198836,-0.16,0.9,13915.05
NM_198839,0.16,0.635,2149.51
NM_198834,1.1,0.256,45950.73
NM_001093,-1.06,0.223,1703.67
NM_001136538,-1.96,0.00708,5552.88
NM_025247,-1.12,0.0887,17397.27
NM_001136542,-0.29,0.536,794.06
NM_032169,1.08,0.108,19201.17
NM_014384,-0.38,0.649,7558.73
NM_014049,-0.11,0.845,7146.65
NM_001608,2.8,0.0231,16.19
NM_000016,0.3,0.647,6153.27
NM_001127328,0.81,0.346,2917.36
NM_000017,-0.99,0.325,3831.48
NM_001609,-0.82,0.184,23536.5
NM_000018,-1.83,0.328,8959.17
NM_001033859,-0.91,0.236,36998.35
NM_013227,5.17,0.296,155.97
NM_001135,5.48,0.222,145.83
NM_014716,-1.15,0.196,253.81
NM_012287,-0.48,0.354,73521.82
NM_030649,-0.81,0.406,2534.98
NM_000019,1.0,0.0829,41136.22
NM_005891,1.61,0.00799,33708.63
NM_022735,-0.11,0.849,71136.72
NM_001135704,-2.15,0.0682,726.17
NM_001135705,-2.04,0.278,584.96
NM_024722,-1.85,0.0323,2296.08
NM_001135707,-1.63,0.00556,1430.09
NM_001135706,-0.72,0.227,258.64
NR_024150,-3.41,0.0601,6415.51
NM_001042473,-1.43,0.00846,1544.64
NM_145698,-0.08,0.909,9266.97
NM_032360,-0.33,0.266,24381.07
NM_001039844,-1.66,0.166,13835.17
NM_032592,-1.02,0.15,5483.73
NM_001127219,0.5,0.493,1078.84
NM_001031854,-1.0,0.545,2.25
NM_001082487,-0.62,0.395,889.78
NM_001082486,0.06,0.898,5400.31
NM_022914,0.47,0.464,6156.25
NM_000789,-5.73,0.212,9961.72
NM_152830,-2.6,0.0169,265.82
NM_021804,-2.4,0.00713,33.59
NM_133492,-6.84,0.0543,571.0
NM_001010887,-2.57,0.0171,4696.49
NM_018367,-0.82,0.637,8306.12
NM_000665,-1.92,0.0591,100.31
NM_015831,-1.44,0.24,755.34
NM_014977,-0.65,0.147,20408.86
NM_001296,-6.0,0.26,4458.46
NM_020311,-3.59,0.153,69161.25
NM_178445,1.66,0.268,258.09
NM_016557,2.67,0.34,153.41
NM_198830,-0.7,0.384,26052.76
NM_001096,-0.46,0.79,4595.02
NM_020186,2.11,0.00328,13521.6
NM_002197,1.43,0.0777,52095.24
NM_001098,-0.37,0.164,37859.68
NM_001037161,-1.44,0.122,9559.61
NM_015547,-0.61,0.492,35.51
NM_147161,-0.26,0.719,176.96
NM_130767,-0.74,0.68,8.96
NM_018473,0.76,0.363,24020.86
NM_001160094,0.77,0.398,861.76
NM_006821,-1.04,0.121,17706.42
NM_152331,-4.78,0.127,20524.46
NM_001037162,-4.73,0.141,1477.94
NM_181864,-0.47,0.478,807.48
NM_181865,-0.08,0.948,289.08
NM_007274,1.19,0.0385,16367.71
NM_181866,1.23,0.102,650.24
NM_005469,-0.26,0.647,4442.89
NM_001033583,0.2,0.781,1791.66
NM_001037171,2.87,0.0236,6320.41
NM_004035,-2.38,0.00944,80848.58
NM_007292,-0.23,0.718,11979.71
NM_003500,-0.34,0.812,854.07
NM_003501,-0.96,0.00258,687.29
NM_001101667,-0.24,0.578,2269.53
NM_001142808,-0.12,0.912,26.2
NM_001105516,0.73,0.645,45.13
NM_001142807,2.76,0.42,56.17
NM_004300,-0.51,0.1,25389.13
NM_007099,-0.49,0.0864,13087.88
NM_001040649,-0.3,0.305,1758.74
NR_024080,0.64,0.457,3770.29
NM_001610,-1.72,0.0987,9951.71
NM_001131064,-1.06,0.25,1758.21
NM_001611,-1.57,0.198,119.24
NM_001111034,-0.8,0.5,108.04
NM_001111036,-0.59,0.453,93.24
NM_001111035,-0.57,0.544,94.42
NM_016361,-0.91,0.245,4374.03
NM_001037172,-0.63,0.413,5304.24
NM_152282,0.45,0.498,1649.23
NM_001134194,-7.99,0.00897,532.69
NM_001099,-4.54,0.00135,471.1
NM_033068,-3.17,0.0449,27.03
NM_001097,-1.17,0.216,45.86
NM_032489,-3.52,0.0418,224.56
NM_052957,0.42,0.34,805.99
NM_020113,0.47,0.654,4.94
NM_020111,0.47,0.611,6.82
NM_020109,0.54,0.576,7.41
NM_020108,0.65,0.493,7.56
NM_020115,1.15,0.339,4.81
NM_020069,1.24,0.351,16.75
NM_020110,1.86,0.135,6.42
NM_020107,2.03,0.202,8.92
NM_001612,2.22,0.22,35.25
NM_015162,0.03,0.967,71.73
NM_030924,-4.5,0.347,22.7
NM_025149,-4.03,0.00656,11531.78
NR_023316,-1.83,0.235,383.78
NM_001127214,-1.27,0.158,1259.97
NM_174917,-0.93,0.0308,13972.26
NM_001995,0.4,0.561,17203.14
NM_004457,-0.27,0.552,79458.17
NM_203372,1.52,0.0936,54027.05
NM_004458,3.9,0.0023,12821.51
NM_022977,5.04,5.49e-05,35678.98
NM_203379,2.38,0.183,220.92
NM_203380,5.9,0.331,2731.86
NM_016234,7.53,0.284,23611.54
NM_015256,-4.97,0.00518,44.18
NM_001009185,-4.86,0.00495,41.83
NM_052956,-8.74,0.0263,428.25
NM_001010845,-1.98,0.347,3.96
NM_001105069,-0.52,0.347,1.43
NM_182617,0.57,0.347,0.67
NM_202000,-2.94,0.00168,959.44
NM_005622,-2.52,0.0465,782.95
NM_001080454,2.75,0.203,42.32
NM_017888,-0.42,0.753,7.29
NM_032501,-3.38,0.0107,13674.76
NM_018677,-0.06,0.926,15903.83
NM_001076552,0.22,0.244,422.28
NR_028046,0.53,0.448,2534.13
NM_024560,-3.04,0.193,10242.91
NM_001100,1.06,0.0489,11361.4
NM_001141945,2.0,0.139,5070.41
NM_001613,8.82,0.136,111602.52
NM_001101,1.18,0.0464,3742311.58
NM_001017992,2.0,0.131,249.3
NM_005159,1.34,0.0224,2415.32
NM_001614,0.91,0.0418,1848275.64
NR_024438,0.85,0.0392,2575.5
NM_001615,7.78,0.347,38792.09
NM_001024675,-2.05,0.0134,2386.79
NM_004301,-0.47,0.421,13688.69
NM_178042,-0.17,0.714,26868.66
NM_177989,0.17,0.264,75.34
NM_016188,-2.09,0.1,4.27
NM_006687,-3.32,0.141,9.96
NM_006686,-4.27,0.0401,19.27
NM_030812,0.05,0.977,700.85
NM_178525,0.56,0.695,9.33
NM_001130004,1.15,0.506,2573.14
NM_001102,2.25,7.98e-06,334142.16
NM_001130005,3.37,0.272,52255.74
NM_001103,-4.25,0.284,188.5
NM_001104,4.83,0.336,229.75
NM_004924,1.25,0.00039,383962.0
NM_018477,-0.17,0.711,6140.61
NM_005736,0.1,0.782,54911.64
NM_005735,-0.84,0.0296,36484.99
NM_001005386,0.11,0.745,1637.63
NM_005722,0.42,0.173,315030.91
NM_005721,0.98,0.0255,128603.04
NM_020445,-0.76,0.131,2681.58
NM_001040135,1.67,0.00236,1561.54
NR_027714,-0.67,0.738,6.36
NM_024855,0.6,0.0738,9397.08
NM_022496,-0.24,0.763,1720.86
NM_022899,1.08,0.00962,18964.44
NM_032487,0.6,0.683,1068.93
NM_001105,-0.43,0.248,759.48
NM_001111067,1.83,0.00769,25449.19
NM_020327,-2.46,0.000177,2703.44
NM_004302,-2.24,6.29e-05,58094.39
NM_020328,-1.5,0.000377,1078.67
NM_001111033,-0.92,0.14,88.06
NM_001111032,-0.47,0.363,144.17
NM_145259,-0.01,0.99,190.04
NM_001111031,0.51,0.395,207.59
NM_001616,-0.59,0.189,5067.44
NM_001106,-1.46,0.191,15549.62
NM_000020,-0.34,0.674,28.2
NM_001077401,0.65,0.656,43.82
NM_000666,-0.48,0.51,8643.2
NM_080658,-1.4,0.326,65.29
NM_203488,0.08,0.899,349.84
NM_001107,0.78,0.27,2683.9
NM_138448,-0.25,0.61,2353.9
NM_000022,1.42,0.0844,2282.31
NM_001159295,0.47,0.347,0.72
NM_139243,0.48,0.347,0.72
NM_001159285,0.5,0.347,0.71
NM_001145400,-5.57,0.178,47.55
NM_139174,-5.22,0.142,37.3
NM_001012969,-0.48,0.549,733.23
NM_001159280,-0.41,0.56,4033.0
NM_001110,0.09,0.633,44771.29
NM_002390,-0.62,0.215,909.64
NM_021641,6.05,0.0517,4007.25
NM_003474,11.82,0.0356,78689.3
NM_207195,-4.75,0.0483,27725.02
NM_207196,-3.39,0.0153,8060.6
NM_207197,-3.18,0.0605,10738.87
NM_207191,-2.57,0.0112,9385.17
NM_003815,-1.79,0.18,15417.36
NM_207194,0.12,0.892,1536.46
NM_003183,0.47,0.306,5196.65
NM_014237,-0.72,0.347,1.64
NM_033274,3.84,0.214,12549.95
NM_001464,-5.37,0.263,41.25
NM_003814,-1.99,0.0854,109.57
NM_003813,1.22,0.261,281.58
NR_003951,0.35,0.695,62.71
NM_016351,-1.19,0.283,531.41
NM_004194,-0.09,0.945,286.68
NM_021722,-0.01,0.986,135.64
NM_021721,0.01,0.996,318.1
NM_021723,0.71,0.576,246.12
NM_003812,6.12,0.208,1624.09
NM_014265,1.56,0.427,52.07
NM_021777,1.6,0.435,34.45
NM_001130703,-2.39,0.285,5.23
NM_001130704,-1.86,0.251,3.62
NM_001130705,-1.84,0.252,3.58
NM_014269,-1.62,0.235,3.08
NM_021794,-2.19,0.141,4.56
NM_145004,-1.61,0.187,169.36
NM_153202,3.06,0.347,8.34
NM_025220,7.38,0.347,167.14
NM_001109,2.15,0.45,5343.04
NR_027878,0.21,0.719,2659.9
NM_003816,1.63,0.0773,164623.32
NR_027639,1.68,0.0668,16820.32
NR_027638,2.19,0.0635,39864.36
NM_006988,1.24,0.449,77409.16
NM_030957,0.68,0.661,464.93
NM_030955,7.07,0.075,22690.23
NM_139027,-4.13,0.0538,983.3
NM_139025,-1.63,0.389,1174.39
NM_139026,-1.08,0.323,659.02
NR_024514,-0.73,0.478,96.25
NM_080722,4.96,0.0903,1897.04
NM_139155,7.02,0.273,8684.07
NM_139055,-0.3,0.796,6518.87
NM_139056,8.87,0.0486,1807.32
NM_139057,-3.67,0.0743,3581.18
NM_199355,-5.28,0.348,1248.43
NM_133638,-8.29,0.239,810.95
NM_021599,6.2,0.255,5628.71
NM_014244,8.71,0.231,17038.43
NM_025003,-4.68,0.0799,320.12
NM_014243,3.18,0.189,5423.5
NM_005099,4.48,0.196,11017.95
NM_007038,7.48,0.343,21847.0
NM_197941,8.49,0.0276,20050.05
NM_014272,2.02,0.194,6916.61
NM_007037,0.86,0.588,115.39
NM_182920,4.49,0.258,6733.21
NM_001040272,6.39,0.0906,7823.62
NM_052866,11.28,0.11,1679.15
NM_001145320,-0.72,0.187,111.69
NM_014694,2.93,0.142,7.64
NM_207517,-3.95,0.0688,3184.72
NM_019032,2.05,0.311,5057.12
NM_025008,2.75,0.234,3406.14
NM_213604,0.81,0.232,1195.79
NM_006869,-4.09,0.0475,4575.98
NM_018404,-1.7,0.0499,327.87
NM_015840,-0.94,0.182,95201.15
NM_001111,-0.67,0.182,120857.53
NM_001025107,-0.42,0.212,95625.92
NM_015841,0.09,0.908,15237.11
NR_027672,-0.52,0.61,170.83
NM_015834,-0.13,0.889,3089.59
NM_001112,0.17,0.858,7811.82
NM_001160230,0.45,0.635,3200.76
NR_027673,1.4,0.256,2888.37
NM_015833,1.88,0.331,11900.49
NR_027674,1.94,0.391,913.4
NM_018702,-6.26,0.178,65.52
NM_001098830,-3.87,0.342,29.11
NM_012091,-1.06,0.0438,1835.4
NM_182503,1.38,0.0214,9817.69
NM_138422,0.27,0.703,1932.16
NM_052998,0.12,0.896,53.61
NM_020421,-1.17,0.0754,5735.15
NM_001142545,-0.28,0.599,418.18
NM_052853,-0.73,0.0194,21094.57
NM_020247,-0.56,0.35,9368.5
NM_024876,-1.35,0.0162,6131.15
NM_001142555,-0.51,0.165,3924.33
NM_174922,-0.36,0.393,5996.69
NM_021116,-6.59,0.294,111400.43
NM_018417,-2.02,0.27,37.49
NR_026938,0.64,0.375,282.93
NM_020546,-5.11,0.0794,116.31
NM_004036,0.54,0.52,26589.39
NM_139247,-5.0,0.0461,16.99
NM_183357,-1.35,0.573,648.29
NM_015270,-2.43,0.00419,56491.29
NM_020983,-1.27,0.0561,15339.93
NM_001114,0.42,0.698,14713.31
NM_001115,8.0,0.23,373.34
NM_001116,-1.14,0.175,86749.39
NM_001117,0.37,0.751,29.63
NM_001099733,1.07,0.505,48.58
NM_001118,-0.05,0.141,0.96
NM_001119,-2.78,0.194,17235.22
NM_014189,0.09,0.728,35920.29
NM_014190,0.61,0.34,17090.15
NM_176801,0.65,0.284,21059.68
NM_017482,0.61,0.576,1065.09
NM_017484,1.53,0.315,885.12
NM_017488,2.68,0.173,425.91
NM_017483,2.71,0.157,3369.21
NM_001617,6.79,0.187,3793.5
NM_016824,-2.64,0.18,30887.74
NM_019903,0.3,0.789,5330.06
NM_001121,1.03,0.486,5838.35
NM_024694,-0.69,0.756,18.59
NM_000667,9.09,0.347,546.22
NM_000668,6.72,0.347,105.38
NM_000669,-1.88,0.402,119.7
NM_000670,-0.84,0.545,12.35
NM_000671,0.67,0.104,55872.73
NM_001102470,0.74,0.294,16.79
NM_000672,3.21,0.32,34.67
NM_000673,1.17,0.347,2.25
NM_144650,-2.33,0.0563,329.24
NM_018269,0.83,0.209,59170.25
NM_001018082,-0.96,0.347,1.95
NM_004797,-2.48,0.0383,131.69
NM_015999,-1.11,0.0149,119357.05
NM_001127687,0.09,0.908,2068.37
NM_024551,0.02,0.94,3064.16
NM_006829,-7.06,0.0206,44550.43
NM_001123,-0.41,0.462,41031.08
NM_006721,0.04,0.929,14092.54
NM_001124,2.68,0.141,24802.68
NM_024866,-2.57,0.0659,3111.65
NM_001101340,-0.78,0.416,2461.2
NM_181442,-1.0,0.0278,53205.1
NM_015339,-0.8,0.0178,96517.43
NM_014913,0.24,0.295,44439.37
NM_032804,-0.06,0.829,37886.22
NM_000674,-5.15,0.108,2897.77
NM_001048230,-4.39,0.02,1521.62
NM_000675,1.19,0.433,6030.39
NM_000676,4.19,0.0595,35261.53
NM_000677,-3.83,0.246,14.2
NM_020683,-1.3,0.473,8.09
NM_001081976,-0.32,0.879,3.65
NR_023318,0.02,0.98,1551.77
NM_031284,0.33,0.428,13235.61
NR_023319,1.06,0.157,1399.02
NM_001125,-2.61,0.134,535.97
NM_199162,-2.54,0.0459,10625.76
NM_138430,1.07,0.194,561.2
NM_017825,0.72,0.00835,15008.84
NM_020233,1.03,0.0619,763.57
NM_033303,-0.81,0.464,31.53
NM_033302,0.0,0.999,2.49
NM_033304,0.12,0.955,2.87
NM_000680,0.83,0.712,4.32
NM_000679,4.94,0.172,6633.92
NM_000678,5.77,0.104,873.79
NM_000681,-6.75,0.176,6377.37
NM_000682,-4.16,0.00256,446.58
NM_000683,-3.98,0.00341,10456.57
NM_000684,-2.08,0.142,2337.53
NM_000024,7.04,0.178,11735.79
NM_001619,-1.56,0.0674,89966.44
NM_005160,-1.55,0.244,17713.21
NM_175573,-0.19,0.405,1544.01
NM_007002,-0.14,0.78,57090.96
NM_000026,-0.25,0.368,1040.51
NM_001123378,-0.16,0.836,495.35
NM_001126,-0.34,0.474,34948.92
NM_152328,-2.92,0.00784,2552.57
NM_199165,0.48,0.714,486.97
NM_001143948,4.81,0.0017,147.58
NM_032744,5.1,0.0215,184.38
NM_001129,3.3,0.309,482.71
NM_001114176,-0.91,0.419,2154.54
NM_153207,-0.13,0.716,25176.44
NM_022767,0.13,0.816,33177.31
NM_001130,-0.64,0.143,76401.7
NM_198970,-0.26,0.539,3361.66
NM_198969,0.84,0.0881,319.67
NM_001134647,-1.0,0.141,1640.39
NM_198595,1.06,0.173,73829.84
NR_026892,4.91,0.341,16912.91
NM_001146337,4.15,0.035,1235.37
NM_152406,6.56,0.0299,10684.56
NM_032550,-0.78,0.508,776.88
NM_001001936,0.32,0.801,1254.06
NM_005935,-1.17,0.0326,21817.77
NM_002025,5.4,0.281,1074.06
NM_001025108,-1.53,0.418,19981.99
NM_002285,-1.31,0.485,19881.86
NM_014423,-0.15,0.459,133832.62
NR_003226,-1.46,0.107,2101.79
NR_003227,-1.4,0.0553,1680.68
NR_003228,0.06,0.949,183.58
NM_006796,0.8,0.117,63364.76
NM_001010982,-1.02,0.0425,5962.81
NM_001145526,-0.61,0.477,1188.77
NR_027083,-0.31,0.645,389.66
NM_001134,3.22,0.16,124.71
NM_001002243,-1.54,0.0613,17469.56
NM_017657,-1.35,0.08,15781.6
NM_203437,-1.28,0.000252,11719.55
NM_000027,-0.76,0.175,10663.01
NM_014914,-1.4,0.158,8288.78
NM_001037131,-0.71,0.0348,35207.01
NM_014770,-2.13,0.273,6168.14
NM_001122772,-0.77,0.495,4771.34
NR_027032,0.64,0.331,9146.04
NM_031946,-0.4,0.325,17634.56
NM_001042535,1.6,0.00573,10115.96
NM_133447,-2.58,0.00617,3752.26
NM_001144000,-1.25,0.04,1548.84
NM_001077685,-0.87,0.404,705.97
NM_001077686,-0.6,0.187,496.4
NM_001077665,-0.5,0.161,17901.67
NM_133446,-0.1,0.916,385.02
NM_152336,0.86,0.347,1.82
NM_024783,-1.76,0.132,218.88
NM_178563,0.24,0.769,143.48
NM_032785,-1.31,0.232,33.24
NM_021831,-0.99,0.0147,12785.31
NM_001035507,-0.13,0.758,10290.15
NM_172197,0.06,0.914,39.04
NM_001136,0.5,0.458,113.11
NM_001135189,-0.42,0.406,964.9
NM_001135187,-0.12,0.675,522.69
NM_001135188,0.26,0.614,9965.52
NM_004504,0.32,0.445,61941.55
NM_006076,-0.18,0.754,9716.45
NM_018046,-0.4,0.142,25534.08
NM_018238,0.46,0.176,22809.57
NM_000644,-2.06,0.175,2716.57
NM_000643,-2.03,0.207,3409.27
NM_000646,-1.05,0.0826,1073.5
NM_000645,-0.55,0.279,721.16
NM_000028,-0.15,0.745,799.39
NM_000642,-0.12,0.76,15976.88
NM_024758,0.55,0.653,2384.3
NM_001004320,-3.18,0.223,325.49
NM_012199,-0.41,0.175,32322.8
NM_012154,-0.18,0.768,26225.88
NM_177422,-0.29,0.574,395.11
NM_024852,0.66,0.165,7064.53
NM_017629,-0.63,0.168,9607.74
NM_032741,-0.76,0.346,6398.84
NM_006411,0.97,0.155,61641.61
NM_006412,-0.6,0.123,17358.69
NM_001012727,-0.54,0.299,8648.83
NM_020132,-0.88,0.144,60539.78
NM_001037553,-0.3,0.0729,578.87
NM_020133,4.47,0.00688,10507.41
NR_024277,4.67,0.0622,605.96
NM_018361,2.1,0.0274,89525.29
NM_178819,0.21,0.7,89247.57
NM_032717,1.02,0.162,660.31
NM_003659,3.46,0.0201,60133.09
NM_006408,-10.0,0.174,60560.87
NM_176813,-11.18,0.291,4628.72
NM_198576,-0.78,0.143,245198.36
NM_001138,-2.33,0.0622,10.75
NM_000029,0.71,0.695,250.67
NM_015239,1.24,0.142,4437.19
NM_031850,0.34,0.855,1096.14
NM_004835,0.79,0.652,1622.03
NM_000685,1.49,0.354,1494.81
NM_032049,3.85,0.101,437.02
NM_009585,5.54,0.306,3844.88
NM_000686,0.0,1.0,5.35
NM_001040196,-0.8,0.465,1808.98
NM_001040197,-0.15,0.707,2860.72
NM_020350,-0.11,0.821,4139.01
NM_001040195,-0.06,0.896,7396.56
NM_001040194,-0.03,0.974,1772.6
NM_000030,-4.54,0.167,23.24
NM_031900,-2.41,0.0833,5.32
NM_015446,-0.21,0.429,2235.37
NM_001161766,-0.06,0.773,158.8
NM_000687,0.25,0.519,199314.63
NM_006621,0.29,0.495,122782.68
NM_001130723,-2.33,0.00161,10026.05
NM_001130722,-2.18,0.00277,9571.07
NM_001130720,0.46,0.643,3430.05
NM_015328,0.5,0.57,3404.46
NM_001029882,0.64,0.0817,29430.29
NM_017651,-0.68,0.523,3020.61
NM_001134830,0.91,0.301,3314.14
NM_001134832,1.11,0.0856,3775.11
