,Gene ID,Log2Ratio,p-value,Max RPKM,Entrez To,Official Gene Symbol To,Species,Gene Name
1054,NM_054027,2.43,0.0189,45191.72,56172,ANKH,Homo sapiens,ANKH inorganic pyrophosphate transport regulator(ANKH)
1145,NM_018685,1.21,0.0215,113921.44,54443,ANLN,Homo sapiens,"anillin, actin binding protein(ANLN)"
1172,NM_032208,3.53,0.00223,80000.02,84168,ANTXR1,Homo sapiens,ANTXR cell adhesion molecule 1(ANTXR1)
1173,NM_018153,4.34,0.00579,5571.39,84168,ANTXR1,Homo sapiens,ANTXR cell adhesion molecule 1(ANTXR1)
1174,NM_001145794,2.52,0.00438,1076.32,118429,ANTXR2,Homo sapiens,ANTXR cell adhesion molecule 2(ANTXR2)
1175,NM_058172,6.02,0.00476,49286.42,118429,ANTXR2,Homo sapiens,ANTXR cell adhesion molecule 2(ANTXR2)
1177,NM_000700,6.83,0.00309,113101.9,301,ANXA1,Homo sapiens,annexin A1(ANXA1)
1184,NM_001002857,1.55,0.0199,150412.31,302,ANXA2,Homo sapiens,annexin A2(ANXA2)
1185,NM_001136015,1.75,0.00778,3998.75,302,ANXA2,Homo sapiens,annexin A2(ANXA2)
1186,NM_001002858,1.87,0.0426,7250.56,302,ANXA2,Homo sapiens,annexin A2(ANXA2)
1188,NR_001562,1.7,0.00393,22307.77,303,ANXA2P1,Homo sapiens,annexin A2 pseudogene 1(ANXA2P1)
1189,NR_003573,1.67,0.00514,436206.23,304,ANXA2P2,Homo sapiens,annexin A2 pseudogene 2(ANXA2P2)
1190,NR_001446,1.74,0.00786,29614.46,305,ANXA2P3,Homo sapiens,annexin A2 pseudogene 3(ANXA2P3)
1194,NM_001154,1.6,0.000666,134052.29,308,ANXA5,Homo sapiens,annexin A5(ANXA5)
1218,NM_032493,2.11,1.45e-05,56621.88,8907,AP1M1,Homo sapiens,adaptor related protein complex 1 subunit mu 1(AP1M1)
1221,NM_003916,2.29,0.000203,27311.99,8905,AP1S2,Homo sapiens,adaptor related protein complex 1 subunit sigma 2(AP1S2)
1261,NM_004886,1.06,0.0226,7459.01,9546,APBA3,Homo sapiens,amyloid beta precursor protein binding family A member 3(APBA3)
1290,NM_173545,5.41,0.0312,1560.32,200558,APLF,Homo sapiens,aprataxin and PNKP like factor(APLF)
1340,NM_145640,4.39,0.032,363.87,80833,APOL3,Homo sapiens,apolipoprotein L3(APOL3)
1344,NM_019101,2.05,0.0038,223.73,55937,APOM,Homo sapiens,apolipoprotein M(APOM)
1421,NM_199357,1.01,0.0209,6398.33,9824,ARHGAP11A,Homo sapiens,Rho GTPase activating protein 11A(ARHGAP11A)
1427,NM_001006634,2.6,0.0359,10374.24,55114,ARHGAP17,Homo sapiens,Rho GTPase activating protein 17(ARHGAP17)
1431,NM_020824,1.0,0.0436,68641.27,57584,ARHGAP21,Homo sapiens,Rho GTPase activating protein 21(ARHGAP21)
1433,NM_020876,3.35,0.0367,19297.34,57636,ARHGAP23,Homo sapiens,Rho GTPase activating protein 23(ARHGAP23)
1449,NM_020754,3.45,0.0132,11611.66,57514,ARHGAP31,Homo sapiens,Rho GTPase activating protein 31(ARHGAP31)
1457,NM_152432,3.4,0.0376,7270.86,143872,ARHGAP42,Homo sapiens,Rho GTPase activating protein 42(ARHGAP42)
1490,NM_001162384,1.92,0.0255,17698.19,9181,ARHGEF2,Homo sapiens,Rho/Rac guanine nucleotide exchange factor 2(ARHGEF2)
1505,NM_018071,1.73,4.43e-05,9949.44,55701,ARHGEF40,Homo sapiens,Rho guanine nucleotide exchange factor 40(ARHGEF40)
1530,NM_006321,1.81,0.0212,15138.73,10425,ARIH2,Homo sapiens,ariadne RBR E3 ubiquitin protein ligase 2(ARIH2)
1546,NM_001667,1.42,0.015,27725.48,402,ARL2,Homo sapiens,ARF like GTPase 2(ARL2)
1552,NM_005737,4.04,0.0466,123592.92,10123,ARL4C,Homo sapiens,ARF like GTPase 4C(ARL4C)
1610,NM_020183,3.53,0.0343,1089.35,56938,BMAL2,Homo sapiens,basic helix-loop-helix ARNT like 2(BMAL2)
1612,NM_005720,1.63,0.0229,47340.25,10095,ARPC1B,Homo sapiens,actin related protein 2/3 complex subunit 1B(ARPC1B)
1614,NM_152862,1.25,0.0203,77746.15,10109,ARPC2,Homo sapiens,actin related protein 2/3 complex subunit 2(ARPC2)
1643,NM_000046,2.15,0.00835,34889.84,411,ARSB,Homo sapiens,arylsulfatase B(ARSB)
1646,NM_000047,4.94,0.0375,206.15,415,ARSL,Homo sapiens,arylsulfatase L(ARSL)
1650,NM_024590,3.68,0.0141,46873.36,79642,ARSJ,Homo sapiens,arylsulfatase family member J(ARSJ)
1707,NM_022091,1.02,0.0422,4544.1,10973,ASCC3,Homo sapiens,activating signal cointegrator 1 complex subunit 3(ASCC3)
1762,NM_020437,1.77,0.0123,5009.79,57168,ASPHD2,Homo sapiens,aspartate beta-hydroxylase domain containing 2(ASPHD2)
1779,NM_018164,1.05,0.0319,27861.81,55726,INTS13,Homo sapiens,integrator complex subunit 13(INTS13)
1780,NM_015338,1.37,0.0457,92444.35,171023,ASXL1,Homo sapiens,ASXL transcriptional regulator 1(ASXL1)
1828,NM_032852,1.51,8.65e-05,5796.01,84938,ATG4C,Homo sapiens,autophagy related 4C cysteine peptidase(ATG4C)
1854,NM_020453,1.82,0.00774,17317.0,57205,ATP10D,Homo sapiens,ATPase phospholipid transporting 10D (putative)(ATP10D)
1859,NM_001010986,3.89,0.00143,14059.24,286410,ATP11C,Homo sapiens,ATPase phospholipid transporting 11C(ATP11C)
1908,NM_001001486,1.64,0.00903,18055.19,27032,ATP2C1,Homo sapiens,ATPase secretory pathway Ca2+ transporting 1(ATP2C1)
1966,NM_001693,1.04,0.0359,69761.7,526,ATP6V1B2,Homo sapiens,ATPase H+ transporting V1 subunit B2(ATP6V1B2)
1968,NM_144583,1.66,0.00375,15210.67,245973,ATP6V1C2,Homo sapiens,ATPase H+ transporting V1 subunit C2(ATP6V1C2)
1992,NM_001005855,1.56,0.0186,3414.54,57198,ATP8B2,Homo sapiens,ATPase phospholipid transporting 8B2(ATP8B2)
2060,NM_020371,1.19,0.017,11088.29,57099,AVEN,Homo sapiens,apoptosis and caspase activation inhibitor(AVEN)
2075,NM_021913,1.64,3.91e-05,1248.61,558,AXL,Homo sapiens,AXL receptor tyrosine kinase(AXL)
2076,NM_001699,10.1,0.00954,494996.24,558,AXL,Homo sapiens,AXL receptor tyrosine kinase(AXL)
2081,NM_001134433,1.45,0.00587,3354.42,64343,AZI2,Homo sapiens,5-azacytidine induced 2(AZI2)
2082,NM_001134432,1.55,0.00184,6374.2,64343,AZI2,Homo sapiens,5-azacytidine induced 2(AZI2)
2086,NM_004048,1.23,0.00927,232728.54,567,B2M,Homo sapiens,beta-2-microglobulin(B2M)
2093,NM_020981,4.55,0.0137,645.37,8708,B3GALT1,Homo sapiens,"beta-1,3-galactosyltransferase 1(B3GALT1)"
2102,NM_194318,1.27,0.0214,9091.97,145173,B3GLCT,Homo sapiens,beta 3-glucosyltransferase(B3GLCT)
2115,NM_033309,1.52,0.0401,15097.71,84752,B3GNT9,Homo sapiens,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9(B3GNT9)"
2125,NM_003780,2.02,0.0139,16224.88,8704,B4GALT2,Homo sapiens,"beta-1,4-galactosyltransferase 2(B4GALT2)"
2150,NR_027655,1.73,0.0183,639.99,571,BACH1,Homo sapiens,BTB domain and CNC homolog 1(BACH1)
2155,NM_004282,4.43,0.000436,38370.42,9532,BAG2,Homo sapiens,BAG cochaperone 2(BAG2)
2180,NM_001188,1.33,0.0274,20842.25,578,BAK1,Homo sapiens,BCL2 antagonist/killer 1(BAK1)
2195,NM_006317,3.38,0.0217,136418.16,10409,BASP1,Homo sapiens,brain abundant membrane attached signal protein 1(BASP1)
2198,NM_018664,5.37,0.0397,1218.06,55509,BATF3,Homo sapiens,basic leucine zipper ATF-like transcription factor 3(BATF3)
2220,NM_176824,1.01,0.025,5469.82,55212,BBS7,Homo sapiens,Bardet-Biedl syndrome 7(BBS7)
2221,NM_018190,1.12,0.0347,3899.06,55212,BBS7,Homo sapiens,Bardet-Biedl syndrome 7(BBS7)
2239,NM_003567,2.54,0.00759,82084.55,8412,BCAR3,Homo sapiens,"BCAR3 adaptor protein, NSP family member(BCAR3)"
2248,NM_005504,9.13,0.00604,116421.12,586,BCAT1,Homo sapiens,branched chain amino acid transaminase 1(BCAT1)
2263,NM_003921,1.03,0.0208,26512.29,8915,BCL10,Homo sapiens,BCL10 immune signaling adaptor(BCL10)
2351,NM_152731,3.25,0.0167,4100.92,221336,BEND6,Homo sapiens,BEN domain containing 6(BEND6)
2362,NM_016526,1.28,0.0125,30707.7,51272,BET1L,Homo sapiens,Bet1 golgi vesicular membrane trafficking protein like(BET1L)
2391,NM_001003398,1.13,0.0128,5021.93,636,BICD1,Homo sapiens,BICD cargo adaptor 1(BICD1)
2394,NM_015250,2.14,0.000143,56568.39,23299,BICD2,Homo sapiens,BICD cargo adaptor 2(BICD2)
2404,NM_139351,3.61,0.0127,1934.43,274,BIN1,Homo sapiens,bridging integrator 1(BIN1)
2405,NM_139350,3.88,0.0161,1138.85,274,BIN1,Homo sapiens,bridging integrator 1(BIN1)
2413,NM_182962,4.4,0.0333,33943.72,330,BIRC3,Homo sapiens,baculoviral IAP repeat containing 3(BIRC3)
2445,NM_006128,2.4,0.0199,1594.33,649,BMP1,Homo sapiens,bone morphogenetic protein 1(BMP1)
2451,NM_198892,1.76,0.00394,19232.71,55589,BMP2K,Homo sapiens,BMP2 inducible kinase(BMP2K)
2475,NM_013978,1.07,0.0473,1257.3,662,BNIP1,Homo sapiens,BCL2 interacting protein 1(BNIP1)
2493,NM_015201,1.99,0.0212,13758.9,23246,BOP1,Homo sapiens,BOP1 ribosomal biogenesis factor(BOP1)
2527,NM_014299,1.09,0.00338,34841.57,23476,BRD4,Homo sapiens,bromodomain containing 4(BRD4)
2549,NM_015379,1.42,0.0252,46007.06,25798,BRI3,Homo sapiens,brain protein I3(BRI3)
2556,NM_018321,1.21,0.0133,28089.48,55299,BRIX1,Homo sapiens,biogenesis of ribosomes BRX1(BRIX1)
2581,NM_198589,1.03,0.000849,166197.12,682,BSG,Homo sapiens,basigin (Ok blood group)(BSG)
2596,NM_001136537,3.81,0.00699,540.15,149478,BTBD19,Homo sapiens,BTB domain containing 19(BTBD19)
2620,NM_006806,2.27,0.000242,18092.72,10950,BTG3,Homo sapiens,BTG anti-proliferation factor 3(BTG3)
2627,NM_007049,2.28,0.0416,17313.96,11120,BTN2A1,Homo sapiens,butyrophilin subfamily 2 member A1(BTN2A1)
2634,NM_007047,1.54,0.037,6934.96,11118,BTN3A2,Homo sapiens,butyrophilin subfamily 3 member A2(BTN3A2)
2654,NM_147147,3.31,0.0317,1287.44,11149,POPDC1,Homo sapiens,popeye domain cAMP effector 1(POPDC1)
2655,NM_007073,3.44,0.0324,1348.9,11149,POPDC1,Homo sapiens,popeye domain cAMP effector 1(POPDC1)
2657,NM_004053,1.48,0.000625,35136.71,705,BYSL,Homo sapiens,bystin like(BYSL)
2682,NM_001001791,7.68,0.0375,2002.59,414236,C10orf55,Homo sapiens,chromosome 10 putative open reading frame 55(C10orf55)
2689,NM_001004298,6.93,0.0364,289.56,118611,C10orf90,Homo sapiens,chromosome 10 open reading frame 90(C10orf90)
2694,NM_022338,1.21,0.0139,37283.61,53838,C11orf24,Homo sapiens,chromosome 11 open reading frame 24(C11orf24)
2717,NM_031450,1.44,0.00334,26706.73,83638,C11orf68,Homo sapiens,chromosome 11 open reading frame 68(C11orf68)
2813,NM_001130010,1.76,0.0185,1336.74,84529,CDIN1,Homo sapiens,CDAN1 interacting nuclease 1(CDIN1)
2869,NM_001113434,5.56,0.00211,25295.91,339263,LINC02693,Homo sapiens,long intergenic non-protein coding RNA 2693(LINC02693)
2899,NM_145055,1.04,0.00283,4446.46,147339,ARK2N,Homo sapiens,arkadia (RNF111) N-terminal like PKA signaling regulator 2N(ARK2N)
2902,NM_173529,1.64,0.0185,8203.04,162681,C18orf54,Homo sapiens,chromosome 18 open reading frame 54(C18orf54)
2911,NM_152769,1.41,0.0449,2266.11,255057,CBARP,Homo sapiens,CACN subunit beta associated regulatory protein(CBARP)
2938,NM_020156,2.6,0.0064,26676.03,56913,C1GALT1,Homo sapiens,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1(C1GALT1)"
2967,NM_207356,1.16,0.000149,18347.99,339448,C1orf174,Homo sapiens,chromosome 1 open reading frame 174(C1orf174)
3027,NM_198593,3.78,0.00517,370.26,114897,C1QTNF1,Homo sapiens,C1q and TNF related 1(C1QTNF1)
3028,NM_198594,5.09,0.0448,2219.64,114897,C1QTNF1,Homo sapiens,C1q and TNF related 1(C1QTNF1)
3029,NM_030968,5.19,0.0228,2630.09,114897,C1QTNF1,Homo sapiens,C1q and TNF related 1(C1QTNF1)
3119,NM_025203,1.24,0.0425,14435.16,80304,WDCP,Homo sapiens,WD repeat and coiled coil containing(WDCP)
3200,NM_001008393,2.02,0.0232,40145.8,201725,C4orf46,Homo sapiens,chromosome 4 open reading frame 46(C4orf46)
3271,NM_001010905,4.92,0.05,72.68,352999,C6orf58,Homo sapiens,chromosome 6 open reading frame 58(C6orf58)
3288,NM_001100159,3.8,0.0277,118.46,136288,C7orf57,Homo sapiens,chromosome 7 open reading frame 57(C7orf57)
3497,NM_021231,1.59,0.0157,6502.23,58509,CACTIN,Homo sapiens,"cactin, spliceosome C complex subunit(CACTIN)"
3552,NM_003656,2.82,0.0243,2101.51,8536,CAMK1,Homo sapiens,calcium/calmodulin dependent protein kinase I(CAMK1)
3609,NM_001105530,1.94,0.000536,76206.18,10487,CAP1,Homo sapiens,cyclase associated actin cytoskeleton regulatory protein 1(CAP1)
3611,NM_001747,2.08,0.00852,5604.52,822,CAPG,Homo sapiens,"capping actin protein, gelsolin like(CAPG)"
3671,NM_199141,1.07,0.000898,52850.22,10498,CARM1,Homo sapiens,coactivator associated arginine methyltransferase 1(CARM1)
3677,NM_024537,1.01,0.0186,13955.82,79587,CARS2,Homo sapiens,"cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)"
3786,NM_001757,2.41,0.00248,37152.17,873,CBR1,Homo sapiens,carbonyl reductase 1(CBR1)
3821,NM_021174,2.23,0.0311,41580.56,57805,CCAR2,Homo sapiens,cell cycle and apoptosis regulator 2(CCAR2)
3822,NM_133459,10.14,0.00686,21379.41,147372,CCBE1,Homo sapiens,collagen and calcium binding EGF domains 1(CCBE1)
3881,NM_001008723,3.44,0.00117,603.85,159686,CFAP58,Homo sapiens,cilia and flagella associated protein 58(CFAP58)
3916,NM_206886,2.01,0.0486,6480.33,343099,CCDC18,Homo sapiens,coiled-coil domain containing 18(CCDC18)
3928,NM_024296,2.31,0.0182,1991.71,79140,CCDC28B,Homo sapiens,coiled-coil domain containing 28B(CCDC28B)
3949,NM_174908,4.36,0.00456,58668.54,152137,CCDC50,Homo sapiens,coiled-coil domain containing 50(CCDC50)
3985,NM_001130146,1.68,0.0139,4406.84,84318,CCDC77,Homo sapiens,coiled-coil domain containing 77(CCDC77)
3993,NM_024725,3.94,0.00255,5267.74,79780,CCDC82,Homo sapiens,coiled-coil domain containing 82(CCDC82)
3997,NM_006848,1.41,0.0137,16494.68,11007,CCDC85B,Homo sapiens,coiled-coil domain containing 85B(CCDC85B)
3999,NM_024098,1.67,0.00409,53158.04,79080,CCDC86,Homo sapiens,coiled-coil domain containing 86(CCDC86)
4001,NM_018084,4.05,0.00087,24838.05,55704,CCDC88A,Homo sapiens,coiled-coil domain containing 88A(CCDC88A)
4002,NM_001135597,4.97,0.000417,9394.27,55704,CCDC88A,Homo sapiens,coiled-coil domain containing 88A(CCDC88A)
4055,NM_021178,1.27,0.037,27440.06,57820,CCNB1IP1,Homo sapiens,cyclin B1 interacting protein 1(CCNB1IP1)
4097,NM_001142300,1.08,0.0407,13240.31,151195,CCNYL1,Homo sapiens,cyclin Y like 1(CCNYL1)
4098,NM_152523,1.23,0.0328,6004.23,151195,CCNYL1,Homo sapiens,cyclin Y like 1(CCNYL1)
4118,NM_012118,1.51,8.5e-05,13599.71,25819,NOCT,Homo sapiens,nocturnin(NOCT)
4130,NM_001762,1.12,0.00267,194346.95,908,CCT6A,Homo sapiens,chaperonin containing TCP1 subunit 6A(CCT6A)
4143,NM_133493,3.89,0.0431,126969.27,135228,CD109,Homo sapiens,CD109 molecule(CD109)
4152,NM_203416,4.36,0.0479,14.44,9332,CD163,Homo sapiens,CD163 molecule(CD163)
4160,NM_020406,5.15,0.0264,82.79,57126,CD177,Homo sapiens,CD177 molecule(CD177)
4174,NM_005944,4.52,0.0247,25.4,4345,CD200,Homo sapiens,CD200 molecule(CD200)
4197,NM_014143,5.67,0.0169,2151.91,29126,CD274,Homo sapiens,CD274 molecule(CD274)
4200,NM_006139,1.87,0.00493,5.7,940,CD28,Homo sapiens,CD28 molecule(CD28)
4210,NM_016579,3.42,0.00207,33567.75,51293,CD320,Homo sapiens,CD320 molecule(CD320)
4234,NM_001001391,5.53,0.0016,368349.35,960,CD44,Homo sapiens,CD44 molecule (IN blood group)(CD44)
4275,NM_001251,4.54,0.0217,44029.36,968,CD68,Homo sapiens,CD68 molecule(CD68)
4316,NM_031462,2.55,0.0288,39485.74,83692,CD99L2,Homo sapiens,CD99 molecule like 2(CD99L2)
4349,NM_044472,1.0,0.0391,812.01,998,CDC42,Homo sapiens,cell division cycle 42(CDC42)
4354,NM_152243,1.89,0.0163,82918.69,11135,CDC42EP1,Homo sapiens,CDC42 effector protein 1(CDC42EP1)
4356,NM_006449,3.55,0.0261,68439.05,10602,CDC42EP3,Homo sapiens,CDC42 effector protein 3(CDC42EP3)
4438,NM_033492,2.6,0.0135,2654.63,984,CDK11B,Homo sapiens,cyclin dependent kinase 11B(CDK11B)
4469,NM_001259,2.97,0.00824,11941.84,1021,CDK6,Homo sapiens,cyclin dependent kinase 6(CDK6)
4470,NM_001145306,5.44,0.00321,136311.73,1021,CDK6,Homo sapiens,cyclin dependent kinase 6(CDK6)
4499,NM_001800,1.48,0.0409,2546.04,1032,CDKN2D,Homo sapiens,cyclin dependent kinase inhibitor 2D(CDKN2D)
4593,NM_018451,1.0,0.0451,7088.41,55835,CPAP,Homo sapiens,centrosome assembly and centriole elongation protein(CPAP)
4594,NM_022145,1.7,0.049,11097.18,64105,CENPK,Homo sapiens,centromere protein K(CENPK)
4604,NM_001012267,1.3,0.0284,6189.53,401541,CENPP,Homo sapiens,centromere protein P(CENPP)
4608,NM_181716,2.46,0.0119,7110.18,201161,CENPV,Homo sapiens,centromere protein V(CENPV)
4609,NM_001012507,1.76,0.0454,11412.54,387103,CENPW,Homo sapiens,centromere protein W(CENPW)
4620,NM_014812,1.73,0.00522,34938.11,9859,CEP170,Homo sapiens,centrosomal protein 170(CEP170)
4649,NM_001042475,3.01,0.00419,1677.34,387119,CEP85L,Homo sapiens,centrosomal protein 85 like(CEP85L)
4692,NM_002113,4.72,0.000563,26.38,3078,CFHR1,Homo sapiens,complement factor H related 1(CFHR1)
4700,NM_138638,2.63,0.000435,67641.01,1073,CFL2,Homo sapiens,cofilin 2(CFL2)
4701,NM_021914,3.79,0.0491,5719.95,1073,CFL2,Homo sapiens,cofilin 2(CFL2)
4739,NM_001098502,1.28,0.0455,19705.4,131474,CHCHD4,Homo sapiens,coiled-coil-helix-coiled-coil-helix domain containing 4(CHCHD4)
4786,NM_012110,1.15,0.0492,4509.18,26511,CHIC2,Homo sapiens,cysteine rich hydrophobic domain 2(CHIC2)
4821,NM_001144073,1.2,0.0114,21083.73,26973,CHORDC1,Homo sapiens,cysteine and histidine rich domain containing 1(CHORDC1)
4830,NM_001143983,5.31,0.0258,337.24,91851,CHRDL1,Homo sapiens,chordin like 1(CHRDL1)
4872,NM_004267,9.6,0.00984,15125.35,9435,CHST2,Homo sapiens,carbohydrate sulfotransferase 2(CHST2)
4877,NM_019886,2.12,0.0331,5028.71,56548,CHST7,Homo sapiens,carbohydrate sulfotransferase 7(CHST7)
4883,NM_175856,5.7,0.0105,8493.0,337876,CHSY3,Homo sapiens,chondroitin sulfate synthase 3(CHSY3)
4938,NM_181640,1.68,0.00641,5959.37,51192,CKLF,Homo sapiens,chemokine like factor(CKLF)
4955,NR_024604,5.08,0.0316,33.76,9629,CLCA3P,Homo sapiens,"chloride channel accessory 3, pseudogene(CLCA3P)"
4960,NM_013246,3.05,0.00566,7552.3,23529,CLCF1,Homo sapiens,cardiotrophin like cytokine factor 1(CLCF1)
5012,NM_001040181,1.9,0.007,47310.68,56650,CLDND1,Homo sapiens,claudin domain containing 1(CLDND1)
5013,NM_001040199,2.07,0.0351,3123.8,56650,CLDND1,Homo sapiens,claudin domain containing 1(CLDND1)
5055,NM_001288,1.33,0.000125,233234.26,1192,CLIC1,Homo sapiens,chloride intracellular channel 1(CLIC1)
5066,NM_032421,2.49,0.0133,33276.46,7461,CLIP2,Homo sapiens,CAP-Gly domain containing linker protein 2(CLIP2)
5079,NM_024769,7.05,0.0425,63020.07,79827,CLMP,Homo sapiens,CXADR like membrane protein(CLMP)
